STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
53,1002,1,G,1,1989-10-26,1.639,1.622,ACUB,,,,,,,,,6,6,5,4.6,1989,,,531002,220,10.5,466.9,1984-06-01,WA
53,1002,1,G,1,1989-10-26,1.611,1.589,ACUB,,,,,,,,,6,6,5,4.6,1989,,,531002,220,10.5,466.9,1984-06-01,WA
53,1002,1,G,1,1989-10-26,1.522,1.62,ACUB,,,,,,,,,6,6,5,4.6,1989,,,531002,220,10.5,466.9,1984-06-01,WA
53,1002,1,G,1,1989-10-26,1.618,1.576,ACUB,,,,,,,,,6,6,5,4.6,1989,,,531002,220,10.5,466.9,1984-06-01,WA
53,1002,1,G,1,1990-11-21,1.45,1.622,ACUB,,,,,,,,,6,6,4,4.6,1990,,,531002,205,11.3,455.2,1984-06-01,WA
53,1002,1,G,1,1990-11-21,1.42,1.604,ACUB,,,,,,,,,6,6,4,4.6,1990,,,531002,205,11.3,455.2,1984-06-01,WA
53,1002,1,G,1,1990-11-21,1.401,1.604,ACUB,,,,,,,,,6,6,4,4.6,1990,,,531002,205,11.3,455.2,1984-06-01,WA
53,1002,1,G,1,1990-11-21,1.455,1.629,ACUB,,,,,,,,,6,6,4,4.6,1990,,,531002,205,11.3,455.2,1984-06-01,WA
53,1002,1,G,1,1990-11-21,1.462,1.632,ACUB,,,,,,,,,6,6,4,4.6,1990,,,531002,205,11.3,455.2,1984-06-01,WA
53,1002,1,G,1,1991-07-31,1.577,1.75,ACUB,,,,,,,,,6,6,4,4.6,1991,,,531002,85,10.8,509.5,1984-06-01,WA
53,1002,1,G,1,1991-07-31,1.525,1.75,ACUB,,,,,,,,,6,6,4,4.6,1991,,,531002,85,10.8,509.5,1984-06-01,WA
53,1002,1,G,1,1991-07-31,1.559,1.73,ACUB,,,,,,,,,6,6,4,4.6,1991,,,531002,85,10.8,509.5,1984-06-01,WA
53,1002,1,G,1,1991-07-31,1.584,1.718,ACUB,,,,,,,,,6,6,4,4.6,1991,,,531002,85,10.8,509.5,1984-06-01,WA
53,1002,1,G,1,1991-07-31,1.52,1.724,ACUB,,,,,,,,,6,6,4,4.6,1991,,,531002,85,10.8,509.5,1984-06-01,WA
53,1002,1,G,1,1992-09-29,1.495,1.733,ACUB,,,,,,,,,,,,4.6,1992,140.0,55.0,531002,63,11.9,389.4,1984-06-01,WA
53,1002,1,G,1,1992-09-29,1.495,1.733,ACUB,,,,,,,,,,,,4.6,1992,140.0,55.0,531002,63,11.9,389.4,1984-06-01,WA
53,1002,1,G,1,1992-09-29,1.631,1.745,ACUB,,,,,,,,,,,,4.6,1992,140.0,55.0,531002,63,11.9,389.4,1984-06-01,WA
53,1002,1,G,1,1992-09-29,1.631,1.745,ACUB,,,,,,,,,,,,4.6,1992,140.0,55.0,531002,63,11.9,389.4,1984-06-01,WA
53,1002,1,G,1,1992-09-29,1.557,1.745,ACUB,,,,,,,,,,,,4.6,1992,140.0,55.0,531002,63,11.9,389.4,1984-06-01,WA
53,1002,1,G,1,1992-09-29,1.557,1.745,ACUB,,,,,,,,,,,,4.6,1992,140.0,55.0,531002,63,11.9,389.4,1984-06-01,WA
53,1002,1,G,1,1992-09-29,1.554,1.73,ACUB,,,,,,,,,,,,4.6,1992,140.0,55.0,531002,63,11.9,389.4,1984-06-01,WA
53,1002,1,G,1,1992-09-29,1.554,1.73,ACUB,,,,,,,,,,,,4.6,1992,140.0,55.0,531002,63,11.9,389.4,1984-06-01,WA
53,1002,1,G,1,1992-09-29,1.572,1.752,ACUB,,,,,,,,,,,,4.6,1992,140.0,55.0,531002,63,11.9,389.4,1984-06-01,WA
53,1002,1,G,1,1992-09-29,1.572,1.752,ACUB,,,,,,,,,,,,4.6,1992,140.0,55.0,531002,63,11.9,389.4,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.625,1.685,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.625,1.685,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.625,1.685,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.695,1.698,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.695,1.698,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.695,1.698,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.574,1.68,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.574,1.68,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.574,1.68,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.54,1.657,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.54,1.657,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.54,1.657,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.705,1.699,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.705,1.699,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1993-05-11,1.705,1.699,ACUB,,,,,,,,,,,,4.6,1993,150.0,49.0,531002,317,9.7,435.1,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.465,1.688,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.465,1.688,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.465,1.688,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.486,1.684,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.486,1.684,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.486,1.684,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.485,1.709,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.485,1.709,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.485,1.709,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.481,1.691,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.481,1.691,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.481,1.691,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.464,1.699,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.464,1.699,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1995-06-28,1.464,1.699,ACUB,,,,,,,,,8,8,6,4.6,1995,170.0,92.0,531002,117,10.9,575.6,1984-06-01,WA
53,1002,1,G,1,1997-10-07,1.547,1.781,ACUB,1.0,0.0,239.0,42.0,0.0,0.0,579.1,0.0,8,8,5,4.6,1997,210.0,103.0,531002,86,11.1,487.6,1984-06-01,WA
53,1002,1,G,1,1997-10-07,1.547,1.781,ACUB,1.0,0.0,239.0,42.0,0.0,0.0,579.1,0.0,8,8,5,4.6,1997,210.0,103.0,531002,86,11.1,487.6,1984-06-01,WA
53,1002,1,G,1,1997-10-07,1.512,1.736,ACUB,1.0,0.0,239.0,42.0,0.0,0.0,579.1,0.0,8,8,5,4.6,1997,210.0,103.0,531002,86,11.1,487.6,1984-06-01,WA
53,1002,1,G,1,1997-10-07,1.512,1.736,ACUB,1.0,0.0,239.0,42.0,0.0,0.0,579.1,0.0,8,8,5,4.6,1997,210.0,103.0,531002,86,11.1,487.6,1984-06-01,WA
53,1002,1,G,1,1997-10-07,1.529,1.817,ACUB,1.0,0.0,239.0,42.0,0.0,0.0,579.1,0.0,8,8,5,4.6,1997,210.0,103.0,531002,86,11.1,487.6,1984-06-01,WA
53,1002,1,G,1,1997-10-07,1.529,1.817,ACUB,1.0,0.0,239.0,42.0,0.0,0.0,579.1,0.0,8,8,5,4.6,1997,210.0,103.0,531002,86,11.1,487.6,1984-06-01,WA
53,1002,1,G,1,1997-10-07,1.524,1.804,ACUB,1.0,0.0,239.0,42.0,0.0,0.0,579.1,0.0,8,8,5,4.6,1997,210.0,103.0,531002,86,11.1,487.6,1984-06-01,WA
53,1002,1,G,1,1997-10-07,1.524,1.804,ACUB,1.0,0.0,239.0,42.0,0.0,0.0,579.1,0.0,8,8,5,4.6,1997,210.0,103.0,531002,86,11.1,487.6,1984-06-01,WA
53,1002,1,G,1,1997-10-07,1.5,1.763,ACUB,1.0,0.0,239.0,42.0,0.0,0.0,579.1,0.0,8,8,5,4.6,1997,210.0,103.0,531002,86,11.1,487.6,1984-06-01,WA
53,1002,1,G,1,1997-10-07,1.5,1.763,ACUB,1.0,0.0,239.0,42.0,0.0,0.0,579.1,0.0,8,8,5,4.6,1997,210.0,103.0,531002,86,11.1,487.6,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.633,2.006,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.633,2.006,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.633,2.006,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.623,1.917,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.623,1.917,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.623,1.917,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.592,1.933,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.592,1.933,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.592,1.933,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.62,1.984,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.62,1.984,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.62,1.984,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.571,1.978,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.571,1.978,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1998-05-19,1.571,1.978,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1998,210.0,79.0,531002,95,11.9,492.8,1984-06-01,WA
53,1002,1,G,1,1999-05-08,1.495,1.881,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1999,210.0,51.0,531002,21,11.3,414.3,1984-06-01,WA
53,1002,1,G,1,1999-05-08,1.495,1.881,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1999,210.0,51.0,531002,21,11.3,414.3,1984-06-01,WA
53,1002,1,G,1,1999-05-08,1.511,1.928,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1999,210.0,51.0,531002,21,11.3,414.3,1984-06-01,WA
53,1002,1,G,1,1999-05-08,1.511,1.928,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1999,210.0,51.0,531002,21,11.3,414.3,1984-06-01,WA
53,1002,1,G,1,1999-05-08,1.497,1.883,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1999,210.0,51.0,531002,21,11.3,414.3,1984-06-01,WA
53,1002,1,G,1,1999-05-08,1.497,1.883,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1999,210.0,51.0,531002,21,11.3,414.3,1984-06-01,WA
53,1002,1,G,1,1999-05-08,1.518,1.93,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1999,210.0,51.0,531002,21,11.3,414.3,1984-06-01,WA
53,1002,1,G,1,1999-05-08,1.518,1.93,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1999,210.0,51.0,531002,21,11.3,414.3,1984-06-01,WA
53,1002,1,G,1,1999-05-08,1.497,1.913,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1999,210.0,51.0,531002,21,11.3,414.3,1984-06-01,WA
53,1002,1,G,1,1999-05-08,1.497,1.913,ACUB,11.0,0.0,173.0,2044.0,0.0,0.0,152.4,0.0,9,9,6,4.6,1999,210.0,51.0,531002,21,11.3,414.3,1984-06-01,WA
53,1002,1,G,1,2001-05-09,1.53,1.98,ACUB,1.0,1.0,180.0,0.0,0.0,0.0,152.5,0.0,11,11,6,4.6,2001,,,531002,60,11.0,430.4,1984-06-01,WA
53,1002,1,G,1,2001-05-09,1.521,1.919,ACUB,1.0,1.0,180.0,0.0,0.0,0.0,152.5,0.0,11,11,6,4.6,2001,,,531002,60,11.0,430.4,1984-06-01,WA
53,1002,1,G,1,2001-05-09,1.53,1.97,ACUB,1.0,1.0,180.0,0.0,0.0,0.0,152.5,0.0,11,11,6,4.6,2001,,,531002,60,11.0,430.4,1984-06-01,WA
53,1002,1,G,1,2001-05-09,1.541,1.957,ACUB,1.0,1.0,180.0,0.0,0.0,0.0,152.5,0.0,11,11,6,4.6,2001,,,531002,60,11.0,430.4,1984-06-01,WA
53,1002,1,G,1,2001-05-09,1.539,1.956,ACUB,1.0,1.0,180.0,0.0,0.0,0.0,152.5,0.0,11,11,6,4.6,2001,,,531002,60,11.0,430.4,1984-06-01,WA
53,1002,1,G,1,2003-05-13,1.604,2.038,ACUB,,,,,,,,,10,10,8,4.6,2003,240.0,35.0,531002,46,11.7,451.3,1984-06-01,WA
53,1002,1,G,1,2003-05-13,1.604,2.038,ACUB,,,,,,,,,10,10,8,4.6,2003,240.0,35.0,531002,46,11.7,451.3,1984-06-01,WA
53,1002,1,G,1,2003-05-13,1.604,2.038,ACUB,,,,,,,,,10,10,8,4.6,2003,240.0,35.0,531002,46,11.7,451.3,1984-06-01,WA
53,1002,1,G,1,2003-05-13,1.581,1.965,ACUB,,,,,,,,,10,10,8,4.6,2003,240.0,35.0,531002,46,11.7,451.3,1984-06-01,WA
