STATE_CODE,SHRP_ID,CONSTRUCTION_NO,GPS_SPS,EXPERIMENT_NO,VISIT_DATE,IRI_LEFT_WHEEL_PATH,IRI_RIGHT_WHEEL_PATH,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_JPCC,MEPDG_CRACKING_PERCENT_JPCC,AVG_WHEELPATH_FAULT,TRANS_SPALLING_L,TRANS_CRACK_NO,PATCH_RIGID_A,HPMS16_CRACKING_PERCENT_CRCP,MEPDG_PUNCHOUTS_CRCP,PUNCHOUTS_NO,LONG_SPALLING_L,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR
20,3013,1,G,3,1990-04-11,1.671,1.489,JPCTB,,,,,,,,,,,10.2,21.0,1990,,,203013,146,14.0,1091.2,1984-01-01,KS
20,3013,1,G,3,1990-04-11,1.684,1.475,JPCTB,,,,,,,,,,,10.2,21.0,1990,,,203013,146,14.0,1091.2,1984-01-01,KS
20,3013,1,G,3,1990-04-11,1.677,1.571,JPCTB,,,,,,,,,,,10.2,21.0,1990,,,203013,146,14.0,1091.2,1984-01-01,KS
20,3013,1,G,3,1990-04-11,1.639,1.529,JPCTB,,,,,,,,,,,10.2,21.0,1990,,,203013,146,14.0,1091.2,1984-01-01,KS
20,3013,1,G,3,1990-04-11,1.713,1.476,JPCTB,,,,,,,,,,,10.2,21.0,1990,,,203013,146,14.0,1091.2,1984-01-01,KS
20,3013,1,G,3,1991-03-31,1.317,1.67,JPCTB,,,,,,,,,,,10.2,21.0,1991,,,203013,196,14.2,773.9,1984-01-01,KS
20,3013,1,G,3,1991-03-31,1.401,1.615,JPCTB,,,,,,,,,,,10.2,21.0,1991,,,203013,196,14.2,773.9,1984-01-01,KS
20,3013,1,G,3,1991-03-31,1.316,1.645,JPCTB,,,,,,,,,,,10.2,21.0,1991,,,203013,196,14.2,773.9,1984-01-01,KS
20,3013,1,G,3,1991-03-31,1.297,1.758,JPCTB,,,,,,,,,,,10.2,21.0,1991,,,203013,196,14.2,773.9,1984-01-01,KS
20,3013,1,G,3,1991-03-31,1.3,1.751,JPCTB,,,,,,,,,,,10.2,21.0,1991,,,203013,196,14.2,773.9,1984-01-01,KS
20,3013,1,G,3,1992-04-16,1.532,1.673,JPCTB,,,,,,,,,,,10.2,21.0,1992,500.0,,203013,53,13.2,1068.8,1984-01-01,KS
20,3013,1,G,3,1992-04-16,1.532,1.673,JPCTB,,,,,,,,,,,10.2,21.0,1992,500.0,,203013,53,13.2,1068.8,1984-01-01,KS
20,3013,1,G,3,1992-04-16,1.543,1.616,JPCTB,,,,,,,,,,,10.2,21.0,1992,500.0,,203013,53,13.2,1068.8,1984-01-01,KS
20,3013,1,G,3,1992-04-16,1.543,1.616,JPCTB,,,,,,,,,,,10.2,21.0,1992,500.0,,203013,53,13.2,1068.8,1984-01-01,KS
20,3013,1,G,3,1992-04-16,1.536,1.61,JPCTB,,,,,,,,,,,10.2,21.0,1992,500.0,,203013,53,13.2,1068.8,1984-01-01,KS
20,3013,1,G,3,1992-04-16,1.536,1.61,JPCTB,,,,,,,,,,,10.2,21.0,1992,500.0,,203013,53,13.2,1068.8,1984-01-01,KS
20,3013,1,G,3,1992-04-16,1.471,1.661,JPCTB,,,,,,,,,,,10.2,21.0,1992,500.0,,203013,53,13.2,1068.8,1984-01-01,KS
20,3013,1,G,3,1992-04-16,1.471,1.661,JPCTB,,,,,,,,,,,10.2,21.0,1992,500.0,,203013,53,13.2,1068.8,1984-01-01,KS
20,3013,1,G,3,1992-04-16,1.536,1.656,JPCTB,,,,,,,,,,,10.2,21.0,1992,500.0,,203013,53,13.2,1068.8,1984-01-01,KS
20,3013,1,G,3,1992-04-16,1.536,1.656,JPCTB,,,,,,,,,,,10.2,21.0,1992,500.0,,203013,53,13.2,1068.8,1984-01-01,KS
20,3013,1,G,3,1993-03-07,1.709,1.621,JPCTB,,,,,,,,,,,10.2,21.0,1993,,,203013,260,12.0,1401.8,1984-01-01,KS
20,3013,1,G,3,1993-03-07,1.818,1.541,JPCTB,,,,,,,,,,,10.2,21.0,1993,,,203013,260,12.0,1401.8,1984-01-01,KS
20,3013,1,G,3,1993-03-07,1.49,1.495,JPCTB,,,,,,,,,,,10.2,21.0,1993,,,203013,260,12.0,1401.8,1984-01-01,KS
20,3013,1,G,3,1993-03-07,1.547,1.467,JPCTB,,,,,,,,,,,10.2,21.0,1993,,,203013,260,12.0,1401.8,1984-01-01,KS
20,3013,1,G,3,1993-03-07,1.618,1.498,JPCTB,,,,,,,,,,,10.2,21.0,1993,,,203013,260,12.0,1401.8,1984-01-01,KS
20,3013,1,G,3,1994-05-16,1.47,1.573,JPCTB,0,0.0,1.6,0.0,0,0.0,,,,,10.2,21.0,1994,,,203013,218,13.3,1020.4,1984-01-01,KS
20,3013,1,G,3,1994-05-16,1.426,1.611,JPCTB,0,0.0,1.6,0.0,0,0.0,,,,,10.2,21.0,1994,,,203013,218,13.3,1020.4,1984-01-01,KS
20,3013,1,G,3,1994-05-16,1.36,1.63,JPCTB,0,0.0,1.6,0.0,0,0.0,,,,,10.2,21.0,1994,,,203013,218,13.3,1020.4,1984-01-01,KS
20,3013,1,G,3,1994-05-16,1.414,1.589,JPCTB,0,0.0,1.6,0.0,0,0.0,,,,,10.2,21.0,1994,,,203013,218,13.3,1020.4,1984-01-01,KS
20,3013,1,G,3,1994-05-16,1.387,1.65,JPCTB,0,0.0,1.6,0.0,0,0.0,,,,,10.2,21.0,1994,,,203013,218,13.3,1020.4,1984-01-01,KS
20,3013,1,G,3,1996-04-25,1.66,1.652,JPCTB,,,,,,,,,,,10.2,21.0,1996,,,203013,330,12.2,1073.5,1984-01-01,KS
20,3013,1,G,3,1996-04-25,1.626,1.665,JPCTB,,,,,,,,,,,10.2,21.0,1996,,,203013,330,12.2,1073.5,1984-01-01,KS
20,3013,1,G,3,1996-04-25,1.646,1.681,JPCTB,,,,,,,,,,,10.2,21.0,1996,,,203013,330,12.2,1073.5,1984-01-01,KS
20,3013,1,G,3,1996-04-25,1.539,1.712,JPCTB,,,,,,,,,,,10.2,21.0,1996,,,203013,330,12.2,1073.5,1984-01-01,KS
20,3013,1,G,3,1996-04-25,1.584,1.719,JPCTB,,,,,,,,,,,10.2,21.0,1996,,,203013,330,12.2,1073.5,1984-01-01,KS
20,3013,1,G,3,1997-02-28,1.664,1.748,JPCTB,,,,,,,,,,,10.2,21.0,1997,,,203013,209,12.9,1050.6,1984-01-01,KS
20,3013,1,G,3,1997-02-28,1.508,1.684,JPCTB,,,,,,,,,,,10.2,21.0,1997,,,203013,209,12.9,1050.6,1984-01-01,KS
20,3013,1,G,3,1997-02-28,1.523,1.717,JPCTB,,,,,,,,,,,10.2,21.0,1997,,,203013,209,12.9,1050.6,1984-01-01,KS
20,3013,1,G,3,1997-02-28,1.449,1.668,JPCTB,,,,,,,,,,,10.2,21.0,1997,,,203013,209,12.9,1050.6,1984-01-01,KS
20,3013,1,G,3,1997-02-28,1.446,1.685,JPCTB,,,,,,,,,,,10.2,21.0,1997,,,203013,209,12.9,1050.6,1984-01-01,KS
20,3013,1,G,3,1998-05-13,1.566,2.149,JPCTB,,,,,,,,,,,10.2,21.0,1998,,,203013,145,14.4,1368.0,1984-01-01,KS
20,3013,1,G,3,1998-05-13,1.737,1.99,JPCTB,,,,,,,,,,,10.2,21.0,1998,,,203013,145,14.4,1368.0,1984-01-01,KS
20,3013,1,G,3,1998-05-13,1.767,1.9,JPCTB,,,,,,,,,,,10.2,21.0,1998,,,203013,145,14.4,1368.0,1984-01-01,KS
20,3013,1,G,3,1998-05-13,1.759,1.924,JPCTB,,,,,,,,,,,10.2,21.0,1998,,,203013,145,14.4,1368.0,1984-01-01,KS
20,3013,1,G,3,1998-05-13,1.726,1.782,JPCTB,,,,,,,,,,,10.2,21.0,1998,,,203013,145,14.4,1368.0,1984-01-01,KS
20,3013,2,G,3,1999-03-13,1.743,1.727,JPCTB,,,,,,,,,,,10.2,,1999,,,203013,130,13.9,1086.7,,KS
20,3013,2,G,3,1999-03-13,1.607,1.797,JPCTB,,,,,,,,,,,10.2,,1999,,,203013,130,13.9,1086.7,,KS
20,3013,2,G,3,1999-03-13,1.714,1.722,JPCTB,,,,,,,,,,,10.2,,1999,,,203013,130,13.9,1086.7,,KS
20,3013,2,G,3,1999-03-13,1.716,1.719,JPCTB,,,,,,,,,,,10.2,,1999,,,203013,130,13.9,1086.7,,KS
20,3013,2,G,3,1999-03-13,1.62,1.788,JPCTB,,,,,,,,,,,10.2,,1999,,,203013,130,13.9,1086.7,,KS
20,3013,2,G,3,2000-02-16,1.772,1.959,JPCTB,,,,,,,,,,,10.2,,2000,,,203013,288,13.6,800.5,,KS
20,3013,2,G,3,2000-02-16,1.695,2.085,JPCTB,,,,,,,,,,,10.2,,2000,,,203013,288,13.6,800.5,,KS
20,3013,2,G,3,2000-02-16,1.831,1.895,JPCTB,,,,,,,,,,,10.2,,2000,,,203013,288,13.6,800.5,,KS
20,3013,2,G,3,2000-02-16,1.768,1.958,JPCTB,,,,,,,,,,,10.2,,2000,,,203013,288,13.6,800.5,,KS
20,3013,2,G,3,2000-02-16,1.732,1.99,JPCTB,,,,,,,,,,,10.2,,2000,,,203013,288,13.6,800.5,,KS
20,3013,2,G,3,2001-05-08,1.809,2.136,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,10.2,,2001,,,203013,166,13.8,1188.2,,KS
20,3013,2,G,3,2001-05-08,1.781,2.25,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,10.2,,2001,,,203013,166,13.8,1188.2,,KS
20,3013,2,G,3,2001-05-08,1.883,2.1,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,10.2,,2001,,,203013,166,13.8,1188.2,,KS
20,3013,2,G,3,2001-05-08,1.793,2.262,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,10.2,,2001,,,203013,166,13.8,1188.2,,KS
20,3013,2,G,3,2001-05-08,1.876,2.164,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,10.2,,2001,,,203013,166,13.8,1188.2,,KS
20,3013,2,G,3,2002-04-23,1.869,2.091,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,10.2,,2002,,357.0,203013,148,13.2,754.5,,KS
20,3013,2,G,3,2002-04-23,1.909,2.063,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,10.2,,2002,,357.0,203013,148,13.2,754.5,,KS
20,3013,2,G,3,2002-04-23,1.906,2.078,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,10.2,,2002,,357.0,203013,148,13.2,754.5,,KS
20,3013,2,G,3,2002-04-23,1.851,2.063,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,10.2,,2002,,357.0,203013,148,13.2,754.5,,KS
20,3013,2,G,3,2002-04-23,1.77,2.251,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,10.2,,2002,,357.0,203013,148,13.2,754.5,,KS
20,3013,3,G,3,2004-03-11,0.78,0.994,JPCTB,0,0.0,1.6,0.8,0,40.5,,,,,10.2,,2004,,,203013,286,12.6,1194.5,,KS
20,3013,3,G,3,2004-03-11,0.823,0.972,JPCTB,0,0.0,1.6,0.8,0,40.5,,,,,10.2,,2004,,,203013,286,12.6,1194.5,,KS
20,3013,3,G,3,2004-03-11,0.837,0.917,JPCTB,0,0.0,1.6,0.8,0,40.5,,,,,10.2,,2004,,,203013,286,12.6,1194.5,,KS
20,3013,3,G,3,2004-03-11,0.728,0.99,JPCTB,0,0.0,1.6,0.8,0,40.5,,,,,10.2,,2004,,,203013,286,12.6,1194.5,,KS
20,3013,3,G,3,2004-03-11,0.771,1.021,JPCTB,0,0.0,1.6,0.8,0,40.5,,,,,10.2,,2004,,,203013,286,12.6,1194.5,,KS
20,3013,4,G,3,2005-05-14,0.738,0.911,JPCTB,3,3.0,0.3,1.1,1,34.2,,,,,10.2,,2005,,,203013,237,13.3,1104.0,,KS
20,3013,4,G,3,2005-05-14,0.809,0.839,JPCTB,3,3.0,0.3,1.1,1,34.2,,,,,10.2,,2005,,,203013,237,13.3,1104.0,,KS
20,3013,4,G,3,2005-05-14,0.833,0.909,JPCTB,3,3.0,0.3,1.1,1,34.2,,,,,10.2,,2005,,,203013,237,13.3,1104.0,,KS
20,3013,4,G,3,2005-05-14,0.826,0.907,JPCTB,3,3.0,0.3,1.1,1,34.2,,,,,10.2,,2005,,,203013,237,13.3,1104.0,,KS
20,3013,4,G,3,2005-05-14,0.814,0.941,JPCTB,3,3.0,0.3,1.1,1,34.2,,,,,10.2,,2005,,,203013,237,13.3,1104.0,,KS
20,3013,5,G,3,2009-10-25,0.743,0.958,JPCTB,3,3.0,0.0,8.3,1,36.5,,,,,10.2,,2009,,,203013,297,11.9,1253.4,,KS
20,3013,5,G,3,2009-10-25,0.722,0.945,JPCTB,3,3.0,0.0,8.3,1,36.5,,,,,10.2,,2009,,,203013,297,11.9,1253.4,,KS
20,3013,5,G,3,2009-10-25,0.781,0.855,JPCTB,3,3.0,0.0,8.3,1,36.5,,,,,10.2,,2009,,,203013,297,11.9,1253.4,,KS
20,3013,5,G,3,2009-10-25,0.742,0.894,JPCTB,3,3.0,0.0,8.3,1,36.5,,,,,10.2,,2009,,,203013,297,11.9,1253.4,,KS
20,3013,5,G,3,2009-10-25,0.799,0.882,JPCTB,3,3.0,0.0,8.3,1,36.5,,,,,10.2,,2009,,,203013,297,11.9,1253.4,,KS
20,3013,6,G,3,2010-10-12,0.823,1.109,JPCTB,3,3.0,-0.1,4.2,1,92.6,,,,,10.2,,2010,,,203013,359,12.5,1176.2,,KS
20,3013,6,G,3,2010-10-12,0.825,1.129,JPCTB,3,3.0,-0.1,4.2,1,92.6,,,,,10.2,,2010,,,203013,359,12.5,1176.2,,KS
20,3013,6,G,3,2010-10-12,0.884,0.984,JPCTB,3,3.0,-0.1,4.2,1,92.6,,,,,10.2,,2010,,,203013,359,12.5,1176.2,,KS
20,3013,6,G,3,2010-10-12,0.842,1.003,JPCTB,3,3.0,-0.1,4.2,1,92.6,,,,,10.2,,2010,,,203013,359,12.5,1176.2,,KS
20,3013,6,G,3,2010-10-12,0.841,1.092,JPCTB,3,3.0,-0.1,4.2,1,92.6,,,,,10.2,,2010,,,203013,359,12.5,1176.2,,KS
20,3015,1,G,3,1990-04-14,1.04,1.129,JPCTB,,,,,,,,,,,9.2,13.0,1990,,,203015,313,12.0,486.8,1985-01-01,KS
20,3015,1,G,3,1990-04-14,1.036,1.154,JPCTB,,,,,,,,,,,9.2,13.0,1990,,,203015,313,12.0,486.8,1985-01-01,KS
20,3015,1,G,3,1990-04-14,1.014,1.189,JPCTB,,,,,,,,,,,9.2,13.0,1990,,,203015,313,12.0,486.8,1985-01-01,KS
20,3015,1,G,3,1990-04-14,1.002,1.246,JPCTB,,,,,,,,,,,9.2,13.0,1990,,,203015,313,12.0,486.8,1985-01-01,KS
20,3015,1,G,3,1990-04-14,0.992,1.238,JPCTB,,,,,,,,,,,9.2,13.0,1990,,,203015,313,12.0,486.8,1985-01-01,KS
20,3015,1,G,3,1991-04-04,1.036,1.199,JPCTB,,,,,,,,,,,9.2,13.0,1991,,,203015,222,12.3,521.1,1985-01-01,KS
20,3015,1,G,3,1991-04-04,1.047,1.19,JPCTB,,,,,,,,,,,9.2,13.0,1991,,,203015,222,12.3,521.1,1985-01-01,KS
20,3015,1,G,3,1991-04-04,1.034,1.197,JPCTB,,,,,,,,,,,9.2,13.0,1991,,,203015,222,12.3,521.1,1985-01-01,KS
20,3015,1,G,3,1991-04-04,1.038,1.181,JPCTB,,,,,,,,,,,9.2,13.0,1991,,,203015,222,12.3,521.1,1985-01-01,KS
20,3015,1,G,3,1991-04-04,1.007,1.2,JPCTB,,,,,,,,,,,9.2,13.0,1991,,,203015,222,12.3,521.1,1985-01-01,KS
20,3015,1,G,3,1992-04-18,0.974,1.199,JPCTB,,,,,,,,,,,9.2,13.0,1992,640.0,356.0,203015,205,11.8,529.2,1985-01-01,KS
20,3015,1,G,3,1992-04-18,0.974,1.199,JPCTB,,,,,,,,,,,9.2,13.0,1992,640.0,356.0,203015,205,11.8,529.2,1985-01-01,KS
20,3015,1,G,3,1992-04-18,0.988,1.177,JPCTB,,,,,,,,,,,9.2,13.0,1992,640.0,356.0,203015,205,11.8,529.2,1985-01-01,KS
20,3015,1,G,3,1992-04-18,0.988,1.177,JPCTB,,,,,,,,,,,9.2,13.0,1992,640.0,356.0,203015,205,11.8,529.2,1985-01-01,KS
20,3015,1,G,3,1992-04-18,0.982,1.204,JPCTB,,,,,,,,,,,9.2,13.0,1992,640.0,356.0,203015,205,11.8,529.2,1985-01-01,KS
20,3015,1,G,3,1992-04-18,0.982,1.204,JPCTB,,,,,,,,,,,9.2,13.0,1992,640.0,356.0,203015,205,11.8,529.2,1985-01-01,KS
20,3015,1,G,3,1992-04-18,0.967,1.203,JPCTB,,,,,,,,,,,9.2,13.0,1992,640.0,356.0,203015,205,11.8,529.2,1985-01-01,KS
20,3015,1,G,3,1992-04-18,0.967,1.203,JPCTB,,,,,,,,,,,9.2,13.0,1992,640.0,356.0,203015,205,11.8,529.2,1985-01-01,KS
20,3015,1,G,3,1992-04-18,0.955,1.168,JPCTB,,,,,,,,,,,9.2,13.0,1992,640.0,356.0,203015,205,11.8,529.2,1985-01-01,KS
20,3015,1,G,3,1992-04-18,0.955,1.168,JPCTB,,,,,,,,,,,9.2,13.0,1992,640.0,356.0,203015,205,11.8,529.2,1985-01-01,KS
20,3015,1,G,3,1993-03-12,0.991,1.201,JPCTB,,,,,,,,,,,9.2,13.0,1993,,457.0,203015,369,10.7,633.5,1985-01-01,KS
20,3015,1,G,3,1993-03-12,1.038,1.189,JPCTB,,,,,,,,,,,9.2,13.0,1993,,457.0,203015,369,10.7,633.5,1985-01-01,KS
20,3015,1,G,3,1993-03-12,1.018,1.143,JPCTB,,,,,,,,,,,9.2,13.0,1993,,457.0,203015,369,10.7,633.5,1985-01-01,KS
20,3015,1,G,3,1993-03-12,1.0,1.166,JPCTB,,,,,,,,,,,9.2,13.0,1993,,457.0,203015,369,10.7,633.5,1985-01-01,KS
20,3015,1,G,3,1993-03-12,0.981,1.224,JPCTB,,,,,,,,,,,9.2,13.0,1993,,457.0,203015,369,10.7,633.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.046,1.179,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.046,1.179,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.046,1.179,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.044,1.199,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.044,1.199,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.044,1.199,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.001,1.205,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.001,1.205,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.001,1.205,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,0.986,1.215,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,0.986,1.215,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,0.986,1.215,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.046,1.16,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.046,1.16,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1994-05-14,1.046,1.16,JPCTB,,,,,,,,,,,9.2,13.0,1994,650.0,193.0,203015,222,12.6,476.5,1985-01-01,KS
20,3015,1,G,3,1996-04-22,1.21,1.455,JPCTB,,,,,,,,,,,9.2,13.0,1996,,,203015,395,11.2,501.7,1985-01-01,KS
20,3015,1,G,3,1996-04-22,1.392,1.319,JPCTB,,,,,,,,,,,9.2,13.0,1996,,,203015,395,11.2,501.7,1985-01-01,KS
20,3015,1,G,3,1996-04-22,1.245,1.363,JPCTB,,,,,,,,,,,9.2,13.0,1996,,,203015,395,11.2,501.7,1985-01-01,KS
20,3015,1,G,3,1996-04-22,1.255,1.314,JPCTB,,,,,,,,,,,9.2,13.0,1996,,,203015,395,11.2,501.7,1985-01-01,KS
20,3015,1,G,3,1996-04-22,1.331,1.361,JPCTB,,,,,,,,,,,9.2,13.0,1996,,,203015,395,11.2,501.7,1985-01-01,KS
20,3015,1,G,3,1997-02-15,1.16,1.311,JPCTB,,,,,,,,,,,9.2,13.0,1997,,144.0,203015,327,11.5,629.3,1985-01-01,KS
20,3015,1,G,3,1997-02-15,1.186,1.319,JPCTB,,,,,,,,,,,9.2,13.0,1997,,144.0,203015,327,11.5,629.3,1985-01-01,KS
20,3015,1,G,3,1997-02-15,1.179,1.29,JPCTB,,,,,,,,,,,9.2,13.0,1997,,144.0,203015,327,11.5,629.3,1985-01-01,KS
20,3015,1,G,3,1997-02-15,1.147,1.309,JPCTB,,,,,,,,,,,9.2,13.0,1997,,144.0,203015,327,11.5,629.3,1985-01-01,KS
20,3015,1,G,3,1997-02-15,1.152,1.303,JPCTB,,,,,,,,,,,9.2,13.0,1997,,144.0,203015,327,11.5,629.3,1985-01-01,KS
20,3015,1,G,3,1998-04-22,1.122,1.228,JPCTB,,,,,,,,,,,9.2,13.0,1998,,,203015,193,12.8,561.0,1985-01-01,KS
20,3015,1,G,3,1998-04-22,1.107,1.285,JPCTB,,,,,,,,,,,9.2,13.0,1998,,,203015,193,12.8,561.0,1985-01-01,KS
20,3015,1,G,3,1998-04-22,1.122,1.276,JPCTB,,,,,,,,,,,9.2,13.0,1998,,,203015,193,12.8,561.0,1985-01-01,KS
20,3015,1,G,3,1998-04-22,1.117,1.285,JPCTB,,,,,,,,,,,9.2,13.0,1998,,,203015,193,12.8,561.0,1985-01-01,KS
20,3015,1,G,3,1998-04-22,1.106,1.259,JPCTB,,,,,,,,,,,9.2,13.0,1998,,,203015,193,12.8,561.0,1985-01-01,KS
20,3015,2,G,3,1999-03-19,0.99,1.216,JPCTB,0,0.0,1.2,0.0,0,0.0,,,,,9.2,,1999,,,203015,98,12.7,549.0,,KS
20,3015,2,G,3,1999-03-19,1.05,1.219,JPCTB,0,0.0,1.2,0.0,0,0.0,,,,,9.2,,1999,,,203015,98,12.7,549.0,,KS
20,3015,2,G,3,1999-03-19,1.024,1.249,JPCTB,0,0.0,1.2,0.0,0,0.0,,,,,9.2,,1999,,,203015,98,12.7,549.0,,KS
20,3015,2,G,3,1999-03-19,1.041,1.182,JPCTB,0,0.0,1.2,0.0,0,0.0,,,,,9.2,,1999,,,203015,98,12.7,549.0,,KS
20,3015,2,G,3,1999-03-19,1.007,1.216,JPCTB,0,0.0,1.2,0.0,0,0.0,,,,,9.2,,1999,,,203015,98,12.7,549.0,,KS
20,3015,2,G,3,2000-03-16,1.024,1.25,JPCTB,,,,,,,,,,,9.2,,2000,,,203015,195,12.8,449.9,,KS
20,3015,2,G,3,2000-03-16,1.022,1.272,JPCTB,,,,,,,,,,,9.2,,2000,,,203015,195,12.8,449.9,,KS
20,3015,2,G,3,2000-03-16,1.03,1.22,JPCTB,,,,,,,,,,,9.2,,2000,,,203015,195,12.8,449.9,,KS
20,3015,2,G,3,2000-03-16,1.02,1.245,JPCTB,,,,,,,,,,,9.2,,2000,,,203015,195,12.8,449.9,,KS
20,3015,2,G,3,2000-03-16,0.992,1.233,JPCTB,,,,,,,,,,,9.2,,2000,,,203015,195,12.8,449.9,,KS
20,3015,2,G,3,2001-05-12,1.085,1.311,JPCTB,,,,,,,,,,,9.2,,2001,,,203015,212,13.0,522.3,,KS
20,3015,2,G,3,2001-05-12,1.162,1.312,JPCTB,,,,,,,,,,,9.2,,2001,,,203015,212,13.0,522.3,,KS
20,3015,2,G,3,2001-05-12,1.108,1.314,JPCTB,,,,,,,,,,,9.2,,2001,,,203015,212,13.0,522.3,,KS
20,3015,2,G,3,2001-05-12,1.076,1.303,JPCTB,,,,,,,,,,,9.2,,2001,,,203015,212,13.0,522.3,,KS
20,3015,2,G,3,2001-05-12,1.111,1.319,JPCTB,,,,,,,,,,,9.2,,2001,,,203015,212,13.0,522.3,,KS
20,3015,2,G,3,2002-04-18,1.163,1.397,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,9.2,,2002,,,203015,230,12.5,304.6,,KS
20,3015,2,G,3,2002-04-18,1.187,1.386,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,9.2,,2002,,,203015,230,12.5,304.6,,KS
20,3015,2,G,3,2002-04-18,1.179,1.372,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,9.2,,2002,,,203015,230,12.5,304.6,,KS
20,3015,2,G,3,2002-04-18,1.18,1.385,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,9.2,,2002,,,203015,230,12.5,304.6,,KS
20,3015,2,G,3,2002-04-18,1.198,1.43,JPCTB,0,0.0,1.1,0.0,0,0.0,,,,,9.2,,2002,,,203015,230,12.5,304.6,,KS
20,3015,3,G,3,2004-03-14,0.792,0.844,JPCTB,,,,,,,,,,,9.2,,2004,,,203015,200,12.5,638.5,,KS
20,3015,3,G,3,2004-03-14,0.795,0.843,JPCTB,,,,,,,,,,,9.2,,2004,,,203015,200,12.5,638.5,,KS
20,3015,3,G,3,2004-03-14,0.782,0.894,JPCTB,,,,,,,,,,,9.2,,2004,,,203015,200,12.5,638.5,,KS
20,3015,3,G,3,2004-03-14,0.783,0.914,JPCTB,,,,,,,,,,,9.2,,2004,,,203015,200,12.5,638.5,,KS
20,3015,3,G,3,2004-03-14,0.809,0.854,JPCTB,,,,,,,,,,,9.2,,2004,,,203015,200,12.5,638.5,,KS
20,3015,3,G,3,2009-10-26,0.995,1.14,JPCTB,0,0.0,0.8,0.0,0,6.8,,,,,9.2,,2009,,,203015,245,11.7,549.8,,KS
20,3015,3,G,3,2009-10-26,0.98,1.114,JPCTB,0,0.0,0.8,0.0,0,6.8,,,,,9.2,,2009,,,203015,245,11.7,549.8,,KS
20,3015,3,G,3,2009-10-26,1.027,1.129,JPCTB,0,0.0,0.8,0.0,0,6.8,,,,,9.2,,2009,,,203015,245,11.7,549.8,,KS
20,3015,3,G,3,2009-10-26,1.008,1.104,JPCTB,0,0.0,0.8,0.0,0,6.8,,,,,9.2,,2009,,,203015,245,11.7,549.8,,KS
