STATE_CODE,SHRP_ID,CONSTRUCTION_NO,VISIT_DATE,GPS_SPS,EXPERIMENT_NO,PAVEMENT_FAMILY,HPMS16_CRACKING_PERCENT_AC,MEPDG_CRACKING_PERCENT_AC,MEPDG_TRANS_CRACK_LENGTH_AC,MEPDG_LONG_CRACK_LENGTH_AC,PATCH_A,POTHOLES_A,BLEEDING,RAVELING,MAX_MEAN_DEPTH_WIRE_REF,LLH_DEPTH_WIRE_REF_MEAN,RLH_DEPTH_WIRE_REF_MEAN,BOUND_THICKNESS_CM,PLASTICITY_INDEX,YEAR,AADTT_LTPPLN,KESAL_YEAR,VWS_ID,FREEZE_INDEX_YR,MEAN_ANN_TEMP_AVG,TOTAL_ANN_PRECIP,CONSTRUCTION_DATE,STATE_ABBR,PERCENT_FINER_02,MEAN_IRI,AGE_SOURCE,AGE_YR,SITE_FACTOR
48,1,1,1990-03-06,G,1,ACUB,,,,,,,,,7.0,4.0,7.0,2.4,,1990,,,480001,12.0,21.1,753.0,1989-03-01,TX,,0.6737,construction_date,1.0130047912388775,1.3169062286105409e-05
48,1,1,1992-03-17,G,1,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,8.0,2.4,,1992,,,480001,0.0,20.1,1186.2,1989-03-01,TX,,0.7102999999999999,construction_date,3.0444900752908968,3.044490075290897e-06
48,1,1,1993-07-13,G,1,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,2.4,,1993,,,480001,0.0,19.9,712.6,1989-03-01,TX,,0.7205,construction_date,4.3668720054757015,4.366872005475702e-06
48,1,1,1995-05-03,G,1,ACUB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,5.0,8.0,2.4,,1995,,,480001,0.0,20.3,861.0,1989-03-01,TX,,0.7464999999999999,construction_date,6.1711156741957565,6.171115674195756e-06
48,1,2,1997-08-06,G,1,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,2.4,,1997,,196.0,480001,9.0,19.4,1185.7,,TX,,0.7554000000000001,first_visit_proxy,0.0,0.0
48,1,2,1998-02-23,G,1,ACUB,3.0,0.0,42.0,728.0,0.0,0.0,0.0,91.5,4.0,3.0,4.0,2.4,,1998,,124.0,480001,3.0,21.3,998.1,,TX,,0.7632,first_visit_proxy,0.5503080082135524,2.20123203285421e-06
48,1,2,1999-08-26,G,1,ACUB,3.0,0.0,42.0,402.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,2.4,,1999,390.0,140.0,480001,0.0,21.4,611.7,,TX,,0.7994,first_visit_proxy,2.0533880903490758,2.0533880903490757e-06
48,1,2,2001-09-11,G,1,ACUB,4.0,2.0,59.0,38.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.4,,2001,,222.0,480001,0.0,20.1,1107.2,,TX,,1.0919,first_visit_proxy,4.098562628336755,4.098562628336755e-06
48,1,2,2002-01-14,G,1,ACUB,4.0,2.0,59.0,38.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,2.4,,2002,,618.0,480001,0.0,20.2,943.6,,TX,,1.1916,first_visit_proxy,4.440793976728268,4.440793976728268e-06
48,1,3,2004-02-17,G,1,ACUB,6.0,2.0,83.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,2.4,,2004,,,480001,1.0,20.4,1315.7,,TX,,1.3126000000000002,first_visit_proxy,0.0,0.0
48,1,3,2004-08-10,G,1,ACUB,6.0,2.0,83.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,2.4,,2004,,,480001,1.0,20.4,1315.7,,TX,,1.391,first_visit_proxy,0.4791238877481177,9.582477754962355e-07
48,1,5,2007-03-16,G,1,ACUB,6.0,2.0,430.0,21.0,91.4,0.0,0.0,0.0,,,,2.4,,2007,,,480001,2.0,20.1,1197.7,,TX,,1.8047,first_visit_proxy,0.0,0.0
49,1001,1,1989-08-04,G,1,ACUB,,,,,,,,,12.0,12.0,12.0,5.5,,1989,,,491001,226.0,12.1,85.8,1980-11-01,UT,,0.991,construction_date,8.75564681724846,0.0019875318275154002
30,1001,1,1989-09-15,G,1,ACUB,,,,,,,,,11.0,8.0,11.0,2.8000000000000003,23.0,1989,,,301001,774.0,6.0,634.2,1982-08-01,MT,,1.0314,construction_date,7.123887748117728,0.0055210130047912385
23,1001,1,1989-10-10,G,1,ACUB,,,,,,,,,17.0,9.0,17.0,8.9,,1989,,,231001,1156.0,4.8,1111.3,1972-11-01,ME,,1.8686,construction_date,16.93908281998631,0.019598518822724162
33,1001,1,1989-10-16,G,1,ACUB,,,,,,,,,8.0,8.0,8.0,8.4,,1989,,,331001,742.0,7.4,978.9,1981-01-01,NH,,0.5742,construction_date,8.788501026694044,0.006529856262833675
16,1001,1,1989-10-28,G,1,ACUB,,,,,,,,,8.0,7.0,8.0,3.7,,1989,,,161001,283.0,7.8,672.0,1973-08-01,ID,,0.9304,construction_date,16.240930869267626,0.004612424366872005
26,1001,1,1990-01-09,G,1,ACUB,,,,,,,,,6.0,5.0,6.0,2.2,,1990,,,261001,492.0,7.4,937.1,1971-09-01,MI,,1.0504,construction_date,18.357289527720738,0.009050143737166323
49,1001,1,1990-04-11,G,1,ACUB,,,,,,,,,12.0,12.0,12.0,5.5,,1990,,,491001,339.0,11.9,170.6,1980-11-01,UT,,0.9381999999999999,construction_date,9.440109514031485,0.003209637234770705
30,1001,1,1990-05-05,G,1,ACUB,,,,,,,,,12.0,9.0,12.0,2.8000000000000003,23.0,1990,,,301001,603.0,7.3,360.4,1982-08-01,MT,,1.0381,construction_date,7.759069130732375,0.004686477754962355
2,1001,1,1990-05-28,G,1,ACUB,,,1608.0,0.0,0.0,0.0,0.0,0.0,,,,3.0,,1990,,,21001,1359.0,1.7,1156.7,1983-07-01,AK,,1.2384,construction_date,6.907597535934292,0.009394332648870638
26,1001,1,1990-07-24,G,1,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,2.2,,1990,,,261001,492.0,7.4,937.1,1971-09-01,MI,,0.7497,construction_date,18.89390828199863,0.009314696783025326
13,1001,1,1990-08-07,G,1,ACUB,,,,,,,,,6.0,6.0,4.0,8.1,,1990,,,131001,1.0,17.6,1305.0,1986-09-01,GA,,0.8022,construction_date,3.9315537303216974,7.863107460643395e-06
1,1001,1,1990-08-08,G,1,ACUB,,,,,,,,,10.0,6.0,10.0,3.4000000000000004,,1990,,,11001,0.0,19.3,1095.7,1980-10-01,AL,,0.8631,construction_date,9.850787132101301,9.8507871321013e-06
23,1001,1,1990-10-04,G,1,ACUB,,,,,,,,,14.0,10.0,14.0,8.9,,1990,,,231001,626.0,6.5,1290.2,1972-11-01,ME,,2.1862000000000004,construction_date,17.921971252566735,0.011237075975359343
30,1001,1,1990-10-19,G,1,ACUB,0.0,0.0,592.0,0.0,0.0,0.0,,,12.0,9.0,12.0,2.8000000000000003,23.0,1990,,,301001,603.0,7.3,360.4,1982-08-01,MT,,1.0178999999999998,construction_date,8.216290212183436,0.004962639288158795
16,1001,1,1990-11-30,G,1,ACUB,,,,,,,,,6.0,4.0,6.0,3.7,,1990,,27.0,161001,268.0,8.4,768.0,1973-08-01,ID,,0.9305,construction_date,17.3305954825462,0.004661930184804928
28,1001,1,1990-12-05,G,2,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,7.0,3.7,16.0,1990,,,281001,8.0,17.6,1570.9,1987-01-01,MS,,0.7927,construction_date,3.9260780287474333,3.53347022587269e-05
26,1001,1,1991-01-08,G,1,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,2.2,,1991,,9.0,261001,653.0,7.4,1019.4,1971-09-01,MI,,0.8455,construction_date,19.353867214236825,0.012657429158110883
16,1001,1,1991-06-21,G,1,ACUB,,,,,,,,,6.0,4.0,6.0,3.7,,1991,,36.0,161001,179.0,8.3,567.1,1973-08-01,ID,,0.9433999999999999,construction_date,17.88637919233402,0.003219548254620123
26,1001,1,1991-07-10,G,1,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,4.0,6.0,2.2,,1991,,9.0,261001,653.0,7.4,1019.4,1971-09-01,MI,,0.7572,construction_date,19.854893908281998,0.012985100616016427
33,1001,1,1991-08-13,G,1,ACUB,,,,,,,,,7.0,7.0,7.0,8.4,,1991,,34.0,331001,456.0,8.8,1014.9,1981-01-01,NH,,0.6168,construction_date,10.611909650924025,0.004849642710472279
23,1001,1,1991-08-17,G,1,ACUB,,,,,,,,,14.0,8.0,14.0,8.9,,1991,,,231001,844.0,5.9,1115.0,1972-11-01,ME,,1.8262999999999998,construction_date,18.78986995208761,0.01587744010951403
2,1001,1,1991-08-21,G,1,ACUB,,,731.0,0.0,0.0,0.0,0.0,32.1,6.0,6.0,3.0,3.0,,1991,,,21001,820.0,2.8,1501.0,1983-07-01,AK,,1.2755,construction_date,8.139630390143736,0.006682636550308008
49,1001,1,1991-10-26,G,1,ACUB,,,,,,,,,10.0,7.0,10.0,5.5,,1991,,,491001,308.0,11.1,184.3,1980-11-01,UT,,1.0422,construction_date,10.981519507186858,0.0033932895277207394
30,1001,1,1991-11-10,G,1,ACUB,0.0,0.0,592.0,0.0,0.0,0.0,,,10.0,7.0,10.0,2.8000000000000003,23.0,1991,150.0,,301001,465.0,7.5,458.7,1982-08-01,MT,,1.0252,construction_date,9.27583846680356,0.004322540725530459
28,1001,1,1992-02-12,G,2,ACTB,54.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,6.0,9.0,3.7,16.0,1992,340.0,128.0,281001,7.0,16.2,1178.6,1987-01-01,MS,,0.8690999999999999,construction_date,5.114305270362765,4.091444216290212e-05
1,1001,1,1992-04-03,G,1,ACUB,1.0,0.0,10.0,149.0,0.0,0.0,0.0,0.0,11.0,4.0,11.0,3.4000000000000004,,1992,,,11001,0.0,18.1,1538.8,1980-10-01,AL,,0.9720000000000001,construction_date,11.50444900752909,1.150444900752909e-05
33,1001,1,1992-07-21,G,1,ACUB,,,,,,,,,11.0,11.0,10.0,8.4,,1992,,60.0,331001,490.0,7.4,766.1,1981-01-01,NH,,0.6111,construction_date,11.550992470910336,0.005671537303216975
1,1001,1,1992-07-28,G,1,ACUB,1.0,0.0,10.0,149.0,0.0,0.0,0.0,0.0,11.0,4.0,11.0,3.4000000000000004,,1992,,,11001,0.0,18.1,1538.8,1980-10-01,AL,,0.9279999999999999,construction_date,11.822039698836413,1.1822039698836413e-05
30,1001,1,1992-08-26,G,1,ACUB,,,,,,,,,,,,2.8000000000000003,23.0,1992,170.0,,301001,373.0,7.7,455.1,1982-08-01,MT,,1.0576,construction_date,10.069815195071868,0.003766110882956879
23,1001,1,1992-09-25,G,1,ACUB,,,,,,,,,16.0,10.0,16.0,8.9,,1992,,,231001,923.0,4.7,853.1,1972-11-01,ME,,1.7304000000000002,construction_date,19.89869952087611,0.018386398357289526
26,1001,1,1992-09-25,G,1,ACUB,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,2.2,,1992,50.0,20.0,261001,549.0,5.9,820.3,1971-09-01,MI,,0.7343,construction_date,21.06776180698152,0.011587268993839836
16,1001,1,1992-09-30,G,1,ACUB,,,,,,,,,,,,3.7,,1992,,59.0,161001,174.0,8.8,662.2,1973-08-01,ID,,0.9763,construction_date,19.16495550992471,0.003353867214236824
1,1001,1,1992-10-22,G,1,ACUB,3.0,1.0,107.0,312.0,0.0,0.0,0.0,549.0,11.0,4.0,11.0,3.4000000000000004,,1992,,,11001,0.0,18.1,1538.8,1980-10-01,AL,,0.9154,construction_date,12.057494866529774,1.2057494866529775e-05
49,1001,1,1992-11-09,G,1,ACUB,0.0,0.0,2037.0,0.0,0.0,0.0,,,,,,5.5,,1992,,,491001,270.0,11.7,261.3,1980-11-01,UT,,1.0712,construction_date,12.021902806297057,0.0032579356605065024
1,1001,1,1993-01-13,G,1,ACUB,3.0,1.0,107.0,312.0,0.0,0.0,0.0,549.0,11.0,4.0,11.0,3.4000000000000004,,1993,,,11001,2.0,18.5,1077.4,1980-10-01,AL,,0.9038999999999999,construction_date,12.284736481861739,3.6854209445585214e-05
16,1001,1,1993-05-10,G,1,ACUB,,,,,,,,,,,,3.7,,1993,,71.0,161001,369.0,7.2,604.5,1973-08-01,ID,,0.9526,construction_date,19.772758384668034,0.007315920602327173
33,1001,1,1993-09-16,G,1,ACUB,42.0,14.0,315.0,42.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1993,,,331001,631.0,7.7,813.4,1981-01-01,NH,,0.6517999999999999,construction_date,12.706365503080082,0.008030422997946611
30,1001,1,1993-09-28,G,1,ACUB,0.0,0.0,714.0,0.0,0.0,0.0,,,,,,2.8000000000000003,23.0,1993,,,301001,735.0,5.5,772.0,1982-08-01,MT,,1.0782,construction_date,11.159479808350445,0.008213377138945927
26,1001,1,1993-11-02,G,1,ACUB,4.0,1.0,0.0,243.0,0.0,0.0,0.0,0.0,7.0,6.0,7.0,2.2,,1993,80.0,17.0,261001,725.0,6.1,734.2,1971-09-01,MI,,0.7516,construction_date,22.171115674195757,0.01609622997946612
49,1001,1,1993-11-09,G,1,ACUB,0.0,0.0,1129.0,0.0,0.0,0.0,,,11.0,11.0,10.0,5.5,,1993,,,491001,69.0,12.1,275.7,1980-11-01,UT,,1.0677999999999999,construction_date,13.021218343600275,0.0009114852840520192
49,1001,1,1994-01-18,G,1,ACUB,0.0,0.0,1129.0,0.0,0.0,0.0,,,11.0,11.0,10.0,5.5,,1994,,,491001,88.0,12.9,150.8,1980-11-01,UT,,1.1039,construction_date,13.212867898699521,0.0011759452429842574
28,1001,1,1994-01-31,G,2,ACTB,56.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,3.7,16.0,1994,280.0,81.0,281001,41.0,16.5,1710.4,1987-01-01,MS,,0.9369999999999999,construction_date,7.082819986310746,0.0002974784394250513
33,1001,1,1994-02-20,G,1,ACUB,42.0,14.0,315.0,42.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1994,,,331001,735.0,7.8,927.8,1981-01-01,NH,,1.0577999999999999,construction_date,13.136208076659821,0.009668249144421628
33,1001,1,1994-04-14,G,1,ACUB,42.0,14.0,315.0,42.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1994,,,331001,735.0,7.8,927.8,1981-01-01,NH,,0.7163999999999999,construction_date,13.281314168377824,0.009775047227926078
49,1001,1,1994-04-15,G,1,ACUB,0.0,0.0,2928.0,0.0,0.0,0.0,,,11.0,11.0,10.0,5.5,,1994,,,491001,88.0,12.9,150.8,1980-11-01,UT,,1.1187,construction_date,13.451060917180014,0.0011971444216290212
49,1001,1,1994-07-15,G,1,ACUB,0.0,0.0,2179.0,0.0,0.0,0.0,,,11.0,11.0,10.0,5.5,,1994,,,491001,88.0,12.9,150.8,1980-11-01,UT,,1.1126999999999998,construction_date,13.700205338809035,0.0012193182751540042
30,1001,1,1994-07-26,G,1,ACUB,0.0,0.0,714.0,0.0,0.0,0.0,,,,,,2.8000000000000003,23.0,1994,,,301001,542.0,7.7,332.9,1982-08-01,MT,,1.1157,construction_date,11.983572895277208,0.006507080082135523
23,1001,1,1994-08-20,G,1,ACUB,0.0,0.0,62.0,0.0,38.4,0.0,0.1,510.6,13.0,6.0,13.0,8.9,,1994,,,231001,1056.0,5.4,971.6,1972-11-01,ME,,1.9771999999999998,construction_date,21.79876796714579,0.023041297741273097
33,1001,1,1994-10-23,G,1,ACUB,39.0,6.0,197.0,1064.0,0.0,0.0,0.0,516.8,8.0,8.0,8.0,8.4,,1994,,,331001,735.0,7.8,927.8,1981-01-01,NH,,0.6714,construction_date,13.806981519507186,0.01016193839835729
49,1001,1,1994-11-15,G,1,ACUB,1.0,0.0,2363.0,125.0,0.0,0.0,,,11.0,11.0,10.0,5.5,,1994,,,491001,88.0,12.9,150.8,1980-11-01,UT,,1.0735,construction_date,14.036960985626283,0.0012492895277207393
26,1001,1,1994-12-13,G,1,ACUB,3.0,1.0,0.0,90.0,0.0,0.0,0.0,0.0,,,,2.2,,1994,80.0,13.0,261001,904.0,6.3,805.7,1971-09-01,MI,,0.8221,construction_date,23.28268309377139,0.021070828199863105
33,1001,1,1995-01-06,G,1,ACUB,39.0,6.0,197.0,1064.0,0.0,0.0,0.0,516.8,8.0,8.0,8.0,8.4,,1995,,,331001,512.0,8.2,982.1,1981-01-01,NH,,0.8613,construction_date,14.012320328542094,0.007188320328542094
33,1001,1,1995-02-22,G,1,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1995,,,331001,512.0,8.2,982.1,1981-01-01,NH,,0.7116,construction_date,14.140999315537304,0.007254332648870637
49,1001,1,1995-02-22,G,1,ACUB,1.0,0.0,1393.0,253.0,0.0,0.0,,,11.0,11.0,10.0,5.5,,1995,,,491001,66.0,12.4,144.1,1980-11-01,UT,,1.0909,construction_date,14.30800821355236,0.0009586365503080082
23,1001,1,1995-04-20,G,1,ACUB,0.0,0.0,62.0,0.0,38.4,0.0,0.1,510.6,13.0,6.0,13.0,8.9,,1995,,,231001,884.0,5.7,1047.4,1972-11-01,ME,,1.8578,construction_date,22.46406570841889,0.019880698151950718
49,1001,1,1995-05-05,G,1,ACUB,1.0,0.0,2411.0,263.0,0.0,0.0,,,11.0,11.0,10.0,5.5,,1995,,,491001,66.0,12.4,144.1,1980-11-01,UT,,1.0988,construction_date,14.505133470225873,0.0009718439425051335
33,1001,1,1995-05-18,G,1,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1995,,,331001,512.0,8.2,982.1,1981-01-01,NH,,0.6698999999999999,construction_date,14.373716632443532,0.007373716632443532
16,1001,1,1995-07-11,G,1,ACUB,12.0,0.0,333.0,2103.0,0.0,0.0,,,7.0,5.0,7.0,3.7,,1995,,,161001,177.0,8.4,791.5,1973-08-01,ID,,1.0469,construction_date,21.94113620807666,0.0039055222450376454
33,1001,1,1995-07-24,G,1,ACUB,42.0,21.0,326.0,21.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1995,,,331001,512.0,8.2,982.1,1981-01-01,NH,,0.7282,construction_date,14.557152635181383,0.00746781930184805
28,1001,1,1995-08-15,G,2,ACTB,,,,,,,,,12.0,10.0,12.0,3.7,16.0,1995,280.0,53.0,281001,30.0,16.7,1473.4,1987-01-01,MS,,1.2471,construction_date,8.618754277891854,0.0002671813826146475
30,1001,1,1995-10-11,G,1,ACUB,0.0,0.0,1271.0,0.0,0.0,0.0,0.0,0.0,14.0,7.0,14.0,2.8000000000000003,23.0,1995,,,301001,529.0,6.8,633.8,1982-08-01,MT,,1.0816000000000001,construction_date,13.193702943189596,0.006992662559890486
30,1001,1,1996-09-11,G,1,ACUB,0.0,0.0,1157.0,0.0,0.0,0.0,0.0,0.0,15.0,9.0,15.0,2.8000000000000003,23.0,1996,210.0,,301001,1169.0,4.9,428.5,1982-08-01,MT,,1.1272,construction_date,14.113620807665983,0.016512936344969198
33,1001,1,1996-11-12,G,1,ACUB,47.0,12.0,1677.0,156.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1996,,,331001,563.0,7.7,1217.2,1981-01-01,NH,,0.7819,construction_date,15.863107460643395,0.008946792607802874
33,1001,1,1997-01-15,G,1,ACUB,47.0,12.0,1677.0,156.0,0.0,0.0,0.0,0.0,8.0,8.0,8.0,8.4,,1997,,,331001,463.0,7.7,884.7,1981-01-01,NH,,1.3324,construction_date,16.03832991101985,0.007441785078713211
33,1001,1,1997-02-13,G,1,ACUB,49.0,22.0,1341.0,35.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.4,,1997,,,331001,463.0,7.7,884.7,1981-01-01,NH,,1.5407,construction_date,16.11772758384668,0.00747862559890486
33,1001,1,1997-04-08,G,1,ACUB,49.0,22.0,1341.0,35.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.4,,1997,,,331001,463.0,7.7,884.7,1981-01-01,NH,,0.8356,construction_date,16.265571526351813,0.007547225188227241
26,1001,1,1997-06-15,G,1,ACUB,,,,,,,,,6.0,5.0,6.0,2.2,,1997,120.0,13.0,261001,656.0,5.9,722.4,1971-09-01,MI,,0.7294,construction_date,25.78781656399726,0.0169425954825462
28,1001,1,1997-07-02,G,2,ACTB,56.0,56.0,1441.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,11.0,3.7,16.0,1997,,142.0,281001,34.0,16.3,1589.6,1987-01-01,MS,,1.3778000000000001,construction_date,10.499657768651609,0.00036748802190280635
16,1001,1,1997-07-08,G,1,ACUB,17.0,10.0,468.0,1843.0,0.0,0.0,,,9.0,6.0,9.0,3.7,,1997,220.0,45.0,161001,179.0,9.1,872.8,1973-08-01,ID,,1.6460000000000001,construction_date,23.93429158110883,0.0043081724845995895
33,1001,1,1997-08-20,G,1,ACUB,52.0,21.0,1420.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.4,,1997,,,331001,463.0,7.7,884.7,1981-01-01,NH,,1.1101,construction_date,16.632443531827516,0.007717453798767967
30,1001,1,1997-10-09,G,1,ACUB,0.0,0.0,1157.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,15.0,2.8000000000000003,23.0,1997,210.0,,301001,559.0,7.1,504.8,1982-08-01,MT,,1.0961,construction_date,15.189596167008897,0.008506173853524982
33,1001,1,1997-10-23,G,1,ACUB,52.0,21.0,1420.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.4,,1997,,,331001,463.0,7.7,884.7,1981-01-01,NH,,0.9826,construction_date,16.80766598220397,0.007798757015742642
30,1001,1,1998-06-10,G,1,ACUB,0.0,0.0,1157.0,0.0,0.0,0.0,0.0,0.0,15.0,8.0,15.0,2.8000000000000003,23.0,1998,200.0,,301001,497.0,7.9,457.3,1982-08-01,MT,,1.2566,construction_date,15.85763175906913,0.007897100616016428
33,1001,1,1998-06-16,G,1,ACUB,52.0,21.0,1420.0,0.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,8.4,,1998,,,331001,265.0,9.5,929.1,1981-01-01,NH,,1.2622,construction_date,17.453798767967147,0.004642710472279261
26,1001,1,1998-11-04,G,1,ACUB,,,,,,,,,8.0,8.0,8.0,2.2,,1998,130.0,15.0,261001,406.0,8.5,715.5,1971-09-01,MI,,0.7321,construction_date,27.175906913073238,0.011060594113620807
30,1001,1,1999-05-22,G,1,ACUB,0.0,0.0,1791.0,0.0,0.0,0.0,,,16.0,9.0,16.0,2.8000000000000003,23.0,1999,,,301001,185.0,8.5,385.1,1982-08-01,MT,,1.1301,construction_date,16.804928131416837,0.0031257166324435317
33,1001,1,1999-07-12,G,1,ACUB,,,,,,,,,12.0,12.0,11.0,8.4,,1999,,,331001,396.0,8.9,1034.5,1981-01-01,NH,,1.3941,construction_date,18.524298425735797,0.007354146475017111
33,1001,1,2000-10-02,G,1,ACUB,53.0,48.0,1400.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,12.0,8.4,,2000,,,331001,563.0,7.9,976.2,1981-01-01,NH,,1.0319,construction_date,19.750855578370977,0.011139482546201231
33,1001,1,2001-04-26,G,1,ACUB,53.0,48.0,1400.0,0.0,0.0,0.0,0.0,0.0,12.0,11.0,12.0,8.4,,2001,,,331001,461.0,8.3,796.5,1981-01-01,NH,,1.4271,construction_date,20.314852840520192,0.00938546201232033
26,1001,1,2001-07-10,G,1,ACUB,,,,,,,,,,,,2.2,,2001,80.0,20.0,261001,464.0,7.9,886.8,1971-09-01,MI,,0.7438,construction_date,29.856262833675565,0.013883162217659136
26,1001,1,2003-04-11,G,1,ACUB,,,,,,,,,5.0,3.0,5.0,2.2,,2003,,54.0,261001,794.0,6.3,769.0,1971-09-01,MI,,0.756,construction_date,31.60848733744011,0.02512874743326489
26,1001,1,2003-11-21,G,1,ACUB,49.0,22.0,66.0,0.0,0.0,0.0,0.0,0.0,5.0,3.0,5.0,2.2,,2003,,54.0,261001,794.0,6.3,769.0,1971-09-01,MI,,0.7285,construction_date,32.2217659137577,0.025616303901437373
4,1001,2,1990-03-24,G,1,ACUB,,,,,,,,,30.0,23.0,30.0,12.6,,1990,,,41001,0.0,22.0,264.2,,AZ,,1.0654,first_visit_proxy,0.0,0.0
4,1001,2,1992-02-28,G,1,ACUB,,,,,,,,,33.0,23.0,33.0,12.6,,1992,,,41001,0.0,22.1,443.7,,AZ,,1.0724,first_visit_proxy,1.9329226557152634,1.9329226557152633e-06
13,1001,2,1992-05-22,G,1,ACUB,28.0,8.0,,,0.0,0.0,0.0,0.0,6.0,4.0,6.0,8.1,,1992,,,131001,4.0,15.8,1543.1,,GA,,0.8196999999999999,first_visit_proxy,2.16290212183436,1.08145106091718e-05
4,1001,2,1993-02-18,G,1,ACUB,,,,,,,,,,,,12.6,,1993,,382.0,41001,0.0,22.0,374.6,,AZ,,1.1008,first_visit_proxy,2.9075975359342916,2.9075975359342917e-06
2,1001,2,1993-08-26,G,1,ACUB,,,1649.0,284.0,5.5,0.0,0.0,0.0,,,,3.0,,1993,160.0,52.0,21001,616.0,4.4,1186.2,,AK,,1.3559999999999999,first_visit_proxy,3.4250513347022586,0.0021132566735112936
13,1001,2,1994-05-09,G,1,ACUB,54.0,22.0,946.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,5.0,8.1,,1994,,,131001,32.0,16.3,1499.9,,GA,,0.8457000000000001,first_visit_proxy,4.125941136208077,0.00013615605749486652
4,1001,2,1995-03-06,G,1,ACUB,,,,,,,,,,,,12.6,,1995,,862.0,41001,0.0,22.7,164.5,,AZ,,1.1312,first_visit_proxy,4.950034223134839,4.950034223134839e-06
49,1001,2,1996-12-08,G,1,ACUB,0.0,0.0,984.0,0.0,0.0,0.0,,,11.0,11.0,11.0,5.9,,1996,,,491001,72.0,12.9,159.1,,UT,,1.2526,first_visit_proxy,6.71047227926078,0.000489864476386037
49,1001,2,1997-03-03,G,1,ACUB,1.0,0.0,1517.0,52.0,0.0,0.0,,,11.0,10.0,11.0,5.9,,1997,,,491001,120.0,12.3,241.7,,UT,,1.2247999999999999,first_visit_proxy,6.9431895961670085,0.000840125941136208
13,1001,2,1997-04-25,G,1,ACUB,54.0,17.0,2910.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,8.1,,1997,,,131001,10.0,16.0,1591.0,,GA,,0.9079,first_visit_proxy,7.08829568788501,7.797125256673511e-05
49,1001,2,1997-04-26,G,1,ACUB,1.0,0.0,1573.0,59.0,0.0,0.0,,,10.0,10.0,10.0,5.9,,1997,,,491001,120.0,12.3,241.7,,UT,,1.2336,first_visit_proxy,7.091033538672143,0.0008580150581793293
49,1001,2,1997-07-31,G,1,ACUB,1.0,0.0,1573.0,59.0,0.0,0.0,,,12.0,12.0,12.0,5.9,,1997,,,491001,120.0,12.3,241.7,,UT,,1.2604,first_visit_proxy,7.353867214236824,0.0008898179329226557
49,1001,2,1997-09-18,G,1,ACUB,1.0,0.0,1573.0,59.0,0.0,0.0,,,11.0,10.0,11.0,5.9,,1997,,,491001,120.0,12.3,241.7,,UT,,1.2364000000000002,first_visit_proxy,7.488021902806297,0.000906050650239562
16,1001,2,1998-05-20,G,1,ACUB,19.0,9.0,513.0,1732.0,0.0,0.0,,,11.0,8.0,11.0,3.9,,1998,,86.0,161001,151.0,10.2,784.9,,ID,,1.0687,first_visit_proxy,8.15605749486653,0.0012397207392197127
